score,m,n,max_score,sim
16.206666666666663,140,40,22.486666666666665,67
15.16,140,40,22.486666666666665,68
17.906666666666666,140,40,22.486666666666665,69
17.693333333333335,140,40,22.486666666666665,70
18.986666666666668,140,40,22.486666666666665,71
15.61,140,40,22.486666666666665,72
15.190000000000003,140,40,22.486666666666665,73
16.023333333333337,140,40,22.486666666666665,74
15.379999999999999,140,40,22.486666666666665,75
15.646666666666665,140,40,22.486666666666665,76
17.196666666666665,140,40,22.486666666666665,77
18.080000000000002,140,40,22.486666666666665,78
16.466666666666665,140,40,22.486666666666665,79
16.14,140,40,22.486666666666665,80
15.909999999999998,140,40,22.486666666666665,81
16.16,140,40,22.486666666666665,82
16.46,140,40,22.486666666666665,83
15.25333333333333,140,40,22.486666666666665,84
16.393333333333327,140,40,22.486666666666665,85
16.56,140,40,22.486666666666665,86
17.513333333333332,140,40,22.486666666666665,87
16.85,140,40,22.486666666666665,88
18.986666666666668,140,40,22.486666666666665,89
15.82333333333333,140,40,22.486666666666665,90
15.569999999999997,140,40,22.486666666666665,91
15.859999999999998,140,40,22.486666666666665,92
16.83666666666667,140,40,22.486666666666665,93
17.503333333333334,140,40,22.486666666666665,94
17.19,140,40,22.486666666666665,95
15.853333333333332,140,40,22.486666666666665,96
15.153333333333329,140,40,22.486666666666665,97
17.076666666666664,140,40,22.486666666666665,98
18.060000000000002,140,40,22.486666666666665,99
17.153333333333332,140,40,22.486666666666665,100
22.61666666666667,188,88,43.369999999999976,1
21.156666666666666,188,88,43.369999999999976,2
20.650000000000006,188,88,43.369999999999976,3
22.990000000000006,188,88,43.369999999999976,4
25.446666666666673,188,88,43.369999999999976,5
21.490000000000002,188,88,43.369999999999976,6
20.50000000000001,188,88,43.369999999999976,7
21.433333333333344,188,88,43.369999999999976,8
21.753333333333337,188,88,43.369999999999976,9
21.643333333333338,188,88,43.369999999999976,10
22.196666666666676,188,88,43.369999999999976,11
25.20333333333335,188,88,43.369999999999976,12
24.08,188,88,43.369999999999976,13
24.223333333333343,188,88,43.369999999999976,14
23.79333333333335,188,88,43.369999999999976,15
22.33666666666669,188,88,43.369999999999976,16
22.39666666666668,188,88,43.369999999999976,17
24.026666666666678,188,88,43.369999999999976,18
22.586666666666684,188,88,43.369999999999976,19
23.39666666666669,188,88,43.369999999999976,20
22.706666666666678,188,88,43.369999999999976,21
21.820000000000007,188,88,43.369999999999976,22
22.67,188,88,43.369999999999976,23
24.686666666666678,188,88,43.369999999999976,24
23.476666666666677,188,88,43.369999999999976,25
24.560000000000013,188,88,43.369999999999976,26
24.35666666666668,188,88,43.369999999999976,27
21.580000000000005,188,88,43.369999999999976,28
22.913333333333348,188,88,43.369999999999976,29
24.483333333333345,188,88,43.369999999999976,30
20.863333333333347,188,88,43.369999999999976,31
23.190000000000005,188,88,43.369999999999976,32
22.29666666666668,188,88,43.369999999999976,33
21.92333333333335,188,88,43.369999999999976,34
21.670000000000012,188,88,43.369999999999976,35
21.420000000000012,188,88,43.369999999999976,36
21.533333333333346,188,88,43.369999999999976,37
20.786666666666676,188,88,43.369999999999976,38
20.586666666666673,188,88,43.369999999999976,39
21.083333333333332,188,88,43.369999999999976,40
20.229999999999997,188,88,43.369999999999976,41
24.76333333333334,188,88,43.369999999999976,42
24.14333333333335,188,88,43.369999999999976,43
22.85666666666667,188,88,43.369999999999976,44
22.016666666666683,188,88,43.369999999999976,45
22.926666666666673,188,88,43.369999999999976,46
22.31666666666668,188,88,43.369999999999976,47
23.776666666666667,188,88,43.369999999999976,48
22.26,188,88,43.369999999999976,49
22.260000000000005,188,88,43.369999999999976,50
22.65000000000001,188,88,43.369999999999976,51
22.290000000000003,188,88,43.369999999999976,52
25.286666666666672,188,88,43.369999999999976,53
21.813333333333336,188,88,43.369999999999976,54
19.95000000000001,188,88,43.369999999999976,55
21.80000000000002,188,88,43.369999999999976,56
21.806666666666672,188,88,43.369999999999976,57
21.71,188,88,43.369999999999976,58
21.619999999999997,188,88,43.369999999999976,59
22.536666666666665,188,88,43.369999999999976,60
21.710000000000008,188,88,43.369999999999976,61
22.010000000000012,188,88,43.369999999999976,62
20.829999999999995,188,88,43.369999999999976,63
19.82333333333333,188,88,43.369999999999976,64
24.630000000000013,188,88,43.369999999999976,65
24.61333333333334,188,88,43.369999999999976,66
20.726666666666667,188,88,43.369999999999976,67
21.07333333333334,188,88,43.369999999999976,68
20.946666666666673,188,88,43.369999999999976,69
27.960000000000008,188,88,43.369999999999976,70
21.88666666666667,188,88,43.369999999999976,71
22.533333333333342,188,88,43.369999999999976,72
24.16333333333334,188,88,43.369999999999976,73
21.913333333333334,188,88,43.369999999999976,74
26.403333333333336,188,88,43.369999999999976,75
23.653333333333354,188,88,43.369999999999976,76
21.77000000000001,188,88,43.369999999999976,77
22.529999999999998,188,88,43.369999999999976,78
22.70333333333334,188,88,43.369999999999976,79
