k,response,cos,sin
69.0,180.92096363305987,180.9209632684571,-0.011486016510289163
70.0,180.90041508382214,180.90041476940746,-0.010665621870750777
71.0,180.87558651470573,180.87558632819872,-0.008213959617228851
72.0,180.85324342906208,180.85324335489943,-0.0051792963503865036
73.0,180.8367621866368,180.8367621705102,-0.0024150705474308134
74.0,180.82710345528847,180.82710345476343,-0.00043575333418665793
75.0,180.8234797117403,180.8234797107436,0.0006003752718939163
76.0,180.82394309919133,180.82394309728036,0.0008313195041562643
77.0,180.826093618249,180.82609361732528,0.0005779724127842183
78.0,180.8278756773277,180.82787567721797,0.0001992065851797922
79.0,180.8282151513537,180.82821515134793,-4.5713229697030176e-05
80.0,180.8272183158249,180.82721831580812,-7.787604865965175e-05
81.0,180.82583458484524,180.8258345848449,1.1099898157958165e-05
82.0,180.82516058799922,180.82516058799177,5.191468181594912e-05
83.0,180.82575743222372,180.82575743220676,-7.832689413382668e-05
84.0,180.82734141985677,180.82734141947594,-0.00037111673287662517
85.0,180.82899299488275,180.8289929935696,-0.0006891378041706742
86.0,180.82973404827584,180.82973404626273,-0.0008532647080163565
87.0,180.82912093304685,180.82912093145154,-0.0007595717891711322
88.0,180.82750496456612,180.82750496399916,-0.00045282263766879794
89.0,180.8258167796603,180.82581677962764,-0.00010864774192027109
90.0,180.82501271390643,180.8250127138938,6.754248204553914e-05
91.0,180.82551531921678,180.82551531921334,-3.525343244832927e-05
92.0,180.82697597742305,180.82697597705953,-0.0003625813509853124
93.0,180.82849243565303,180.82849243421083,-0.0007222021914184826
94.0,180.82914580242053,180.829145800198,-0.0008965481520557583
95.0,180.828537732813,180.82853773115787,-0.0007736892800015239
96.0,180.82701435999778,180.82701435951557,-0.00041760594266293776
97.0,180.82545181759016,180.82545181758704,-3.371367384665405e-05
98.0,180.82473590613256,180.8247359060689,0.00015174702330703277
99.0,180.82524440529596,180.8252444052939,2.7314883836731548e-05
100.0,180.82663386885156,180.82663386854202,-0.0003345827287907538
101.0,180.828050514125,180.8280505127005,-0.000717767212754285
102.0,180.82863592398863,180.8286359218017,-0.0008893378631366701
103.0,180.8280284883995,180.82802848689076,-0.0007386791374919607
104.0,180.82656829785628,180.82656829752656,-0.00034532053983752465
105.0,180.82508997655512,180.8250899765431,6.589521755094016e-05
106.0,180.82442948876562,180.8244294885831,0.0002569254609843313
107.0,180.82493593854502,180.82493593850648,0.00011805515136372759
108.0,180.8262729109416,180.82627291074678,-0.000265454875677749
109.0,180.82762192779072,180.8276219265788,-0.000662045522956169
110.0,180.82816511565727,180.82816511375262,-0.0008299598393309586
111.0,180.8275628481768,180.82756284697018,-0.000660592468720678
112.0,180.8261479198861,180.82614791972148,-0.00024398178672916363
113.0,180.82472561742844,180.82472561733584,0.00018300975084898933
114.0,180.8240996725707,180.82409967218,0.0003758903262501514
115.0,180.82460277583536,180.82460277569268,0.00022714637997795387
116.0,180.82590542938627,180.82590542930694,-0.00016937381899246278
117.0,180.8272126488743,180.82721264796695,-0.0005728488497927967
118.0,180.82773120558028,180.82773120407822,-0.0007370423261482967
119.0,180.8271331595865,180.82713315873266,-0.0005556975177954884
120.0,180.82574523421476,180.82574523417097,-0.00012583492390702013
121.0,180.82435492124117,180.82435492097758,0.00030874687063937916
122.0,180.8237482654322,180.82374826473873,0.0005007863760369479
123.0,180.82425026313834,180.8242502628086,0.0003453265617780382
124.0,180.82553620132222,180.8255362013129,-5.8089929099849884e-05
125.0,180.82682324551368,180.8268232449192,-0.0004636729033552867
126.0,180.82732936158564,180.82732936050917,-0.0006239443047888447
127.0,180.82673089688862,180.8267308963642,-0.00043549253016806895
128.0,180.82535145694646,180.82535145694646,7.206457236889984e-13
